2PCT;0,0
3i;0,0
ABN Amro Group;0,0
ABS - CBN;48730000,00000001
ACE Group;0,0
AEA Investors;64200000,0
AHW;0,0
AIG / Lincoln;0,0
AIG Global Real Estate Investment Corporation;38800000,0
AMB Property Corporation Allianz;470000000,0
AMP Capital Investors;0,0
AVIVA;0,0
AXA Group;0,0
Abbott Laboratories;47569340000,0
Abris Cee Mid-market Fund;0,0
Abry;0,0
Abu Dhabi Investment Authority;4722380,0
Accent Jobs;0,0
Accenture;0,0
Acergy;265800000,0
Advent International (ACEE4),103000000,0
Agemar;0,0
Alexander Eriksen;0,0
Alfa Group Consortium / ABH;0,0
Altor Equity Partners;606240000,0
Altor Funds;0,0
Amazon;0,0
Amcon International / Allied Equity / Protexa Group;0,0
Anheuser-Busch Inbev (AB Inbev),0,0
Aozora Bank;0,0
Apax Funds;0,0
Apax Partners / Guardian Media Group (Joint Venture),353600000,0
Apax Partners;0,0
Apex Insurance Holdings;0,0
Apollo Asia Opportunity Fund;0,0
Apollo Management;30400000,0
Arcapita Investment Developments;0,0
Arch Capital Group;0,0
Archangel Diamond Corporation;0,0
Argan Capital Advisors;0,0
Arison Group;53160000,0
Artal Group;0,0
Artal;0,0
Atlantas;0,0
Atomico;1800000,0
Audley Capital Management;0,0
Avenue Capital;443699940,0
Avery Dennison;0,0
BAYTEX Energy Trust;53160000,0
BAYTEX;0,0
BC Partners;470000000,0
Babcock And Brown International;0,0
Balderton Capital;0,0
Ball Holdings;0,0
Baloise;0,0
Banca Delle Marche;0,0
Banca Popolare Dell'Emilia Romagna;0,0
Banco Bradesco;0,0
Banco Itaú,0,0
Bank Fur Arbeit Und Wirtschaft Und osterreichische Postsparkasse Aktiengesellschaft (BAWAG),0,0
Banque Degroof;0,0
Banque Martin Maurel;0,0
Baring Private Equity Asia;160000000,0
Bayerische Landesbank;500000000,0
Belfor;0,0
Black & Decker;0,0
Blackstone Group;0,0
Bluebay European Distressed Opportunities Fund;99000000,0
Bluebay Funds;100000000,0
Bluebay High Yield Enhanced Investments;50000000,0
Bluebay;0,0
Bluehouse;120000000,0
Bolton Group International;33000000,0
Boston Consulting Group;0,0
Bridgepoint;122268000,0
British American Tobacco;0,0
Brookfield Asset Management;136000000,0
Bucher Group;0,0
Burberry Group;0,0
CB Richard Ellis Investors;0,0
CIRCOR;0,0
CITCO;0,0
CNP Assurances;100000000,0
COMPASS CC;4750000,0
Carlyle Group;326400000,00000006
Carval Investors;0,0
Catalyst Funds;0,0
Centerbridge Capital Partners;0,0
Cephalon;0,0
Charterhouse Capital Partners;0,0
Chateau De Berne;0,0
Cheyne Special Situations Fund;750000000,0
China Petrochemical Corporation;0,0
China Yunnan Metallurgical Group (CYMCO),0,0
Citigroup Property Investors;201830800,0
Cleveland Cliffs;0,0
Cliffs Natural Resources;0,0
Clownsvis;0,0
Coach;1000000000,0
Coca Cola Hellenic Bottling Company Group;0,0
Colony Capital Group;0,0
Commerzbank AG;0,0
Cordea Savills;23200000,0
Covidien;6379200000,0
Credit Suisse;89000000,0
Curzon / European Property Investors;95250000,0
DNB Nor Group;0,0
DST Systems / State Street Group (Joint Venture),7000000,0
DUET;0,0
Damma Holdings;0,0
Damovo Group;0,0
Dasos Capital Oy;0,0
Dawnay, Day & Co;0,0
Dean Foods;314000000,0
Delff Management;100000000,0
Deutsche Bank / RREEF Global Opportunities Fund II;0,0
Deutsche Bank / RREEF Global Opportunity Fund III;0,0
Deutsche Bank Real Estate Global Opportunities IA LP;0,0
Deutsche Bank Real Estate Global Opportunities IB Fund;0,0
Developers Diversified Realty Corporation (now DDR Corp),143000000,0
Dexia Asset Management (now Candriam),0,0
Doughty Hanson & Co European Real Estate II;0,0
Doughty Hanson & Co IV;0,0
Doughty Hanson;0,0
Draper Fisher Jurvetson (DFJ),0,0
Dubai International Capital;0,0
Dyson James Limited Group;408000000,00000006
EMULEX;0,0
EQT / EFDO;29210000,0
EQT;1170600000,0
ESO Master Fund I;16500000,0
EUSA Pharma Group;0,0
EVRAZ Group / EMMY;0,0
Encore Consumer Capital;0,0
Enesco LLC / EGI;0,0
Englefield / Redstone;63840000,0
Eon Group;2550000000,0
Equity Trust Group;0,0
Eurobank EFG;0,0
Eurohold;88600000,0
Exinor;0,0
Experian;0,0
Extrom / Knight Business;0,0
FREO Group;0,0
Fairfax Financial Holding;894860000,0
Fairfax;0,0
FedEx;0,0
Fidelity (FIL),0,0
Field Point Group;0,0
Financière Lafayette;0,0
Finmeccanica Group;0,0
Fonciere De Bagan;0,0
Foresight Group;0,0
Foster Wheeler;0,0
Foyer;0,0
Fund Channel BNP Paribas / Credit Agricole;0,0
GE Capital / Mubadala (Joint Venture),0,0
Gate Gourmet;0,0
Gazprom;3544000000,0
Gigamedia Limited Group;0,0
Gildemeister Group;0,0
Glanbia / Avonmore Cheese;35000000,0
Glanbia / Avonmore Proteins;0,0
GlaxoSmithKline;8500000000,0
Global Environment Fund / Dasos Capital Oy (Joint Venture),0,0
Golden Gate Capital / GEAC Computer Corporation;0,0
Golden Gate Capital / Infineon Technologies Ag / Lantiq;0,0
Golding Capital Partners;19800000,0
Goodman Group;0,0
Graymont Group;0,0
Great Atlantic & Pacific Tea Company;0,0
Groupe Bruxelles Lambert;0,0
Groupe LCF Rothschild;7280000,0
Groupe Rothschild;146000000,0
HG Capital;0,0
HNA Group;30699900,0
HSBC;30000000,0
Harbinger Capital Partners;17720000,0
Hauck And Aufhauser;0,0
Haymarket Financial / Future Fund;350000000,0
Health Alliance Group;25000000,0
Heinz;5050200000,0
Henderson Global Investors;0,0
Hideal Partners;650000,0
Highland Capital Partners;4600000,0
Hines;592862400,0
Home Credit And Finance Bank;0,0
Huhtamaki;0,0
Hutchison Group;102840000,0
Hutchison Whampoa;0,0
Hypo Real Estate Group;0,0
IAM;0,0
ICAP;0,0
IK Investment Partners / Kwintet Group;0,0
IK Investment Partners;0,0
IKEA;0,0
IVG Institutional Fund;0,0
Ian Livingstone / Richard Livingstone;200000000,0
Iceberg Qapital / MPG Operations;0,0
Innisfree Fund;583690000,0
Intelsat Global;0,0
Intergenia / Plusserver;0,0
International Flavors & Fragrances;305000000,0
Interpublic Group Of Companies;0,0
Intesa Sanpaolo Group;0,0
Investcorp / Barclays;30600000,0
Invus / Artal Group;0,0
J Chahine Capital;0,0
J.C. Flowers;0,0
J.P. Morgan European Property Fund;0,0
JER Partners;0,0
Jardine Matheson Group;60000000,0
Jones Lang Lasalle;0,0
Julius Baer Group;0,0
Kaupthing Bank;0,0
King Street Capital Management;0,0
Koch Industries;0,0
Kohler;0,0
LOHAN;0,0
LVMH Moët Hennessy Louis Vuitton;0,0
Landesbank Baden-Wurttemberg (LBBW),0,0
Langres Investment Limited / AIG Global Real Estate Investment (Joint Venture),16399999,999999998
Lasalle Investment Management;0,0
Lehman Brothers Real Estate Fund;33000000,0
Lewis Trust Group;2856000000,0000005
Lhoist;0,0
Li & Fung;100640000,0
Li Family Trusts;0,0
Lion Capital;0,0
Lombard International Assurance;0,0
Lombard Odier Darier Hentsch & Cie;0,0
Lubrizol;86000000,0
METTLER-TOLEDO;0,0
MYLAN;489072000,0
Macquarie Global Property Advisors;50000000,0
Mark IV Industries;0,0
Maus Freres;0,0
McGraw-Hill / Standard & Poors (now McGraw Hill Financial),0,0
Mercapital;0,0
Merrill Lynch / SATPO Group (Joint Venture),0,0
Merrill Lynch;0,0
Meyer Bergman;77520000,00000001
Millipore;0,0
Montagu;24000000,0
Moorfield Group;54400000,00000001
Natixis;0,0
Nc2 Global;0,0
Next Group;0,0
Nikko Cordial Securities;0,0
Nippon Sheet Glass Group (NSG),0,0
Nordic Capital;2699220000,0
Nordson Corporation;103000000,0
Northern & Shell;1123360000,0000002
Oaktree Capital Management;0,0
Office Depot;0,0
Olayan Group;0,0
Olympus Capital Holdings Asia;177200000,0
PALA Investments;0,0
PIMCO;443000000,0
Pacific Century Group;0,0
Palamon Capital Partners;2960000,0
Paloma Industries;0,0
Panorama Capital;3000000,0
Paul Capital;186680200,0
Pentex Investments;44300000,0
Pepsi Bottling Group;0,0
Permira;337837600,0
Perry Capital;185000000,0
Powergen;0,0
Procter & Gamble;70180060000,0
Prospector Offshore Drilling;0,0
Providence Equity Partners;429000000,0
Prudential Investments UK;176800000,0
Prudential;0,0
Public Sector Pension Investment Board / Cedar Cove Group;72000000,0
QUAD-C Partners;0,0
Quilvest;0,0
R.E. International;0,0
RMK Timberland Group;300000000,0
ROWAN Companies;0,0
RREEF Global Opportunities Fund II;0,0
Ramius;4873000000,0
Reckitt Benckiser;1712000000,0
Reso;70000030,0
Rockspring Paneuropean Property;0,0
Rockspring Property Investment Managers;0,0
Rockspring;330000000,0
Rosebud Real Estate;0,0
Rubicon Group;0,0
Rubus International;0,0
SBERBANK;0,0
SCHAWK;0,0
SISK Group / SICON;14500000,0
SOCFIN;0,0
SR Technics;237500000,0
SRV;0,0
STAPLES;0,0
STAR Capital Partners;150000000,0
SYKES Enterprises;0,0
Sanpaolo Bank;0,0
Schroders / Asia Pacific Land Group;0,0
Sella Bank;0,0
Shire;0,0
Signa Recap Management;0,0
Skandinaviska Enskilda Banken;0,0
Skype (then owned by eBay / Silver Lake Partners),8860000,0
Skype;0,0
Sportfive Group;6000000,0
Stabilus;470000000,0
Starwood Capital Group;206518200,0
State Street Bank;0,0
Sun Capital;0,0
Swire Pacific;74069600,0
TDC A/S;0,0
TDR Capital;0,0
TMD Friction;200000000,0
TMF Group;65000000,0
Taylor And Francis Group / Informa;0,0
Taylor Wimpey;0,0
Tele Columbus;531000000,0
Tele2 Group;0,0
Telecom Italia Group;0,0
Telenet;0,0
Temenos;443000000,0
The Heesen Family;0,0
The Prudential Assurance Company;0,0
The Red Sunset Holding;0,0
The Walt Disney Company;3544000000,0
Threadneedle Asset Management;0,0
Tiger Global Management;265800000,0
Tiger Partners;0,0
Timberland;0,0
Titan International;0,0
Tower 2008 Charitable Trust;0,0
Towerbrook Capital Partners;443000000,0
Trafalgar Overseas;397120000,0
Tyco Electronics;0,0
Tyco International;0,0
UBI Banca;0,0
UBM Group;0,0
UBS;0,0
UPLINE;0,0
Unibanco União De Bancos Brasileiros;0,0
Unibra;0,0
Unicorn Investment Bank (now Bank Alkhair B.S.C.),35000000,0
Unicredit;0,0
Union Bancaire Privee (UBP),0,0
United America Indemnity;0,0
United Luxembourg Investments;0,0
United Technologies Corporation;0,0
VITEC Group;0,0
VKGP;0,0
VTS;13000000,0
Value-Call;0,0
Vastned Offices / Industrial NV;0,0
Verizon;0,0
Vermilion Energy Trust;0,0
Veronis Suhler Stevenson  / Lanetro Zed;0,0
Versorgungswerk Der Zahnarztekammer Westfalen Lippe /  arztekammer Westfalen Lippe (Joint Venture),0,0
Vistec Electronic Beam Lithography Group;0,0
Vitruvian Partners;250360000,0
Viva Group;0,0
Vodafone Finance;0,0
Vodafone;0,0
Volkswagen Financial Services;0,0
WGZ Bank;0,0
Waalfin Holding / WE Group;100000000,0
Wall Street Institute (owned by Carlyle Group),0,0
Warner Chilcott Group;0,0
Weather Investments / Hellas Telecommunications / Wind;178000000,0
Weather Investments / Orascom;0,0
Weatherford;6467800000,0
Wendel Investissement;60000000,0
Westend;0,0
Whatman;0,0
White Mountains Insurance Group / Sirius Insurance Holding;0,0
White Mountains Insurance Group;0,0
Wolseley;10632000,0
Wynnchurch Capital / Safeworks;0,0
X-rite Holdings;0,0
Yamana Gold;0,0
York Capital Management;961252000,0
artzeversorgung Westfalen Lippe (aVWL),0,0
iTunes / Apple;0,0
